,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
19,frozenset({'Number_of_Bank_Products_1.0'}),frozenset({'Number_of_Credit_Card_Facility_4.0'}),0.725531914893617,0.528936170212766,0.4268085106382979,0.5882697947214076,1.1121753962955012,0.04304843820733367,1.1441080196399345
20,frozenset({'Loan_Amount_Medium'}),frozenset({'Number_of_Properties_2.0'}),0.4868085106382979,0.8617021276595744,0.4195744680851064,0.8618881118881119,1.0002158335491669,9.053870529651675e-05,1.0013466199838408
21,frozenset({'Number_of_Properties_2.0'}),frozenset({'Loan_Amount_Medium'}),0.8617021276595744,0.4868085106382979,0.4195744680851064,0.4869135802469136,1.0002158335491669,9.053870529651675e-05,1.0002047795548092
22,frozenset({'Number_of_Side_Income_3.0'}),frozenset({'Decision_Accept'}),0.5497872340425531,0.7527659574468085,0.41617021276595745,0.7569659442724459,1.0055794059017795,0.002309099139882309,1.0172814744545335
23,frozenset({'Decision_Accept'}),frozenset({'Number_of_Side_Income_3.0'}),0.7527659574468085,0.5497872340425531,0.41617021276595745,0.5528547201808931,1.0055794059017793,0.002309099139882309,1.0068601554724694
24,frozenset({'Monthly_Salary_Medium'}),frozenset({'Number_of_Properties_2.0'}),0.4757446808510638,0.8617021276595744,0.41404255319148936,0.8703041144901611,1.0099825526182116,0.004092349479402457,1.0663242846661787
25,frozenset({'Number_of_Properties_2.0'}),frozenset({'Monthly_Salary_Medium'}),0.8617021276595744,0.4757446808510638,0.41404255319148936,0.4804938271604938,1.0099825526182116,0.004092349479402457,1.0091416552058896
26,frozenset({'Number_of_Side_Income_3.0'}),frozenset({'Years_for_Property_to_Completion_10.0'}),0.5497872340425531,0.737872340425532,0.4072340425531915,0.7407120743034057,1.0038485436061149,0.0015612494341331051,1.0109520482692922
27,frozenset({'Years_for_Property_to_Completion_10.0'}),frozenset({'Number_of_Side_Income_3.0'}),0.737872340425532,0.5497872340425531,0.4072340425531915,0.5519031141868512,1.0038485436061149,0.0015612494341331051,1.0047219255729896
28,"frozenset({'Number_of_Properties_2.0', 'Years_for_Property_to_Completion_10.0'})",frozenset({'Credit_Card_types_normal'}),0.62,0.6331914893617021,0.40085106382978725,0.6465339739190117,1.0210718002081165,0.008272340425531932,1.037747572815534
29,frozenset({'Credit_Card_types_normal'}),"frozenset({'Number_of_Properties_2.0', 'Years_for_Property_to_Completion_10.0'})",0.6331914893617021,0.62,0.40085106382978725,0.6330645161290323,1.0210718002081165,0.008272340425531932,1.0356043956043957
30,frozenset({'Number_of_Side_Income_3.0'}),frozenset({'Number_of_Bank_Products_1.0'}),0.5497872340425531,0.725531914893617,0.39914893617021274,0.7260061919504645,1.0006536956502003,0.0002607514712539838,1.0017309772809235
31,frozenset({'Number_of_Bank_Products_1.0'}),frozenset({'Number_of_Side_Income_3.0'}),0.725531914893617,0.5497872340425531,0.39914893617021274,0.5501466275659824,1.0006536956502003,0.0002607514712539838,1.0007989125911956
32,"frozenset({'Number_of_Bank_Products_1.0', 'Years_for_Property_to_Completion_10.0'})",frozenset({'Decision_Accept'}),0.5259574468085106,0.7527659574468085,0.39872340425531916,0.7580906148867314,1.0070734567460817,0.002800543232231778,1.022010958514196
33,frozenset({'Decision_Accept'}),"frozenset({'Number_of_Bank_Products_1.0', 'Years_for_Property_to_Completion_10.0'})",0.7527659574468085,0.5259574468085106,0.39872340425531916,0.5296777840587903,1.007073456746082,0.002800543232231778,1.0079101882160393
34,frozenset({'Number_of_Dependents_2'}),frozenset({'Number_of_Bank_Products_1.0'}),0.5106382978723404,0.725531914893617,0.3974468085106383,0.7783333333333334,1.0727761485826004,0.026962426437301956,1.238201887697969
35,frozenset({'Number_of_Bank_Products_1.0'}),frozenset({'Number_of_Dependents_2'}),0.725531914893617,0.5106382978723404,0.3974468085106383,0.547800586510264,1.0727761485826004,0.026962426437301956,1.0821811960151229
36,"frozenset({'Number_of_Properties_2.0', 'Number_of_Bank_Products_1.0'})",frozenset({'Credit_Card_types_normal'}),0.6221276595744681,0.6331914893617021,0.394468085106383,0.63406292749658,1.0013762631834429,0.0005421457673154828,1.0023813879498906
37,frozenset({'Credit_Card_types_normal'}),"frozenset({'Number_of_Properties_2.0', 'Number_of_Bank_Products_1.0'})",0.6331914893617021,0.6221276595744681,0.394468085106383,0.622983870967742,1.0013762631834429,0.0005421457673154828,1.0022710205939243
38,frozenset({'More_Than_One_Products_yes'}),frozenset({'Decision_Accept'}),0.5,0.7527659574468085,0.3770212765957447,0.7540425531914894,1.001695873374788,0.000638297872340432,1.005190311418685
39,frozenset({'Decision_Accept'}),frozenset({'More_Than_One_Products_yes'}),0.7527659574468085,0.5,0.3770212765957447,0.500847936687394,1.001695873374788,0.000638297872340432,1.0016987542468856
40,frozenset({'Loan_Amount_Medium'}),frozenset({'Decision_Accept'}),0.4868085106382979,0.7527659574468085,0.3731914893617021,0.7666083916083916,1.0183887621705596,0.006738614757808903,1.0593099051717265
41,frozenset({'Decision_Accept'}),frozenset({'Loan_Amount_Medium'}),0.7527659574468085,0.4868085106382979,0.3731914893617021,0.49576031656302993,1.0183887621705596,0.006738614757808903,1.0177530769964698
